text,category,priority
Illegal weapons spotted near Village Kalan,Safety,Critical
Demolition without safety measures in Nagar Panchayat,Construction,High
Street harassment near Block 3 school daily,Safety,High
Dirty drain causing disease spread in Ward 12,Sanitation,Medium
No electricity for 2 days in Ward 12,Electricity,High
Chain snatching incidents in Nagar Panchayat area,Safety,High
Park gate broken in Sector 5,Parks,Low
Sewage mixing with drinking water in Town Area,Water,Medium
Untrained teachers in Ward 12 primary school,Education,Low
Street lights not working on Old Delhi Road since 2 days,Electricity,High
Sewage smell unbearable near Nagar Panchayat,Sanitation,High
Garbage dump near Ward 12 residential area,Sanitation,High
No boundary wall in Village Kalan school,Education,Low
Rubble dumped on Market Street by contractor,Construction,Low
Street harassment near Block 3 school daily,Safety,Medium
Scholarship money not distributed in Zone 4,Education,High
Electric box sparking near Nagar Panchayat school,Electricity,Low
Overloaded vehicles causing accidents on NH-8,Transport,Low
Unauthorized extension built in Puram Extension,Construction,Low
Unauthorized extension built in Puram Extension,Construction,High
CCTV cameras not working on Old Delhi Road,Transport,High
Park benches broken and unusable in Mohalla 7,Parks,Low
Theft incidents increasing in Village Kalan locality,Safety,Critical
Power outage in Nagar Panchayat colony since morning,Electricity,Medium
No power supply during festival in Puram Extension,Electricity,High
Contaminated water supply causing illness in Sector 5,Water,Critical
No ambulance available in Town Area,Healthcare,Critical
Road dividers removed illegally on Old Delhi Road,Transport,Medium
No road markings visible at night on NH-8,Road,Medium
Water supply cut off for 14 days in Sector 5,Water,Low
Unauthorized extension built in Village Kalan,Construction,High
No dustbin provided in Puram Extension market,Sanitation,High
Untrained teachers in Sector 5 primary school,Education,High
Theft incidents increasing in Colony B locality,Safety,Critical
Power cut every day in Puram Extension for 7 hours,Electricity,Low
Sewage overflow on Main Bazaar street near Ward 12,Sanitation,Critical
Construction dust affecting Colony B residents,Construction,Medium
Water tank overflow flooding Station Road,Water,High
Drug dealing happening in Town Area park,Safety,High
No security guard in Colony B park,Parks,Low
Footpath broken and dangerous for walkers near Zone 4,Road,High
Footpath broken and dangerous for walkers near Ward 12,Road,High
Water pipe burst on MG Road flooding the street,Water,High
Illegal liquor shop operating openly in Block 3,Safety,Medium
Drug dealing happening in Ward 12 park,Safety,Critical
Broken road divider on School Lane is dangerous,Road,Medium
Construction dust affecting Puram Extension residents,Construction,High
Construction dust affecting Puram Extension residents,Construction,Low
Bus service not available to Village Kalan village,Transport,Low
Long queues at Sector 5 government dispensary,Healthcare,Critical
Potholes causing vehicle damage on MG Road,Road,Low
Water supply cut off for 5 days in Sector 5,Water,High
Building violating height norms in Sector 5,Construction,High
High voltage wire hanging low on Hospital Road,Electricity,Low
Contaminated water supply causing illness in Colony B,Water,Critical
CCTV cameras vandalized near Mohalla 7,Safety,Medium
Bridge has cracks need urgent repair on Market Street,Road,High
Power outage in Zone 4 colony since morning,Electricity,Medium
Suspicious activity near ATM in Nagar Panchayat,Safety,Medium
Dirty conditions in Nagar Panchayat government hospital,Healthcare,Critical
Power cut every day in Block 3 for 21 hours,Electricity,High
School has no blackboards in Nagar Panchayat,Education,Low
Street lamp broken near bus stop on Hospital Road,Electricity,Medium
Park walls have graffiti in Puram Extension,Parks,Medium
Garbage not collected for 14 days in Zone 4,Sanitation,Medium
Road encroachment by shops on Market Street,Road,High
School missing benches for students in Village Kalan,Education,High
Park gate broken in Colony B,Parks,Low
Open drain overflowing near Colony B homes,Sanitation,High
Blood bank not available in Block 3 hospital,Healthcare,Critical
Dirty brown water coming from tap in Colony B,Water,Critical
Potholes causing vehicle damage on MG Road,Road,High
Road waterlogged after rain near Town Area,Road,Medium
Waste collection vehicle not coming to Nagar Panchayat,Sanitation,High
Water supply cut off for 2 days in Village Kalan,Water,Critical
Police not patrolling Puram Extension area since 30 days,Safety,High
Road construction debris not cleared near Village Kalan,Road,High
No bus shelter at Ward 12 bus stop,Transport,Medium
Illegal parking blocking Ring Road in Town Area,Transport,Low
Women safety issues at Village Kalan bus stop,Safety,Medium
No toilets in Town Area government school,Education,Medium
Open defecation area near Ward 12 school,Sanitation,Medium
Garbage not collected for 14 days in Nagar Panchayat,Sanitation,Critical
Stray dogs near garbage dump in Nagar Panchayat,Sanitation,Low
Garden lights not working in Sector 5 park,Parks,Medium
Blood bank not available in Ward 12 hospital,Healthcare,High
Bus service not available to Nagar Panchayat village,Transport,High
Overloaded vehicles causing accidents on Old Delhi Road,Transport,Low
No security guard in Town Area park,Parks,Low
Waste collection vehicle not coming to Block 3,Sanitation,High
Park walls have graffiti in Mohalla 7,Parks,Low
No maintenance of Zone 4 garden since 30 days,Parks,Medium
Underground water leakage on Old Delhi Road,Water,High
Park pathway broken and dangerous in Village Kalan,Parks,Low
No security guard in Puram Extension park,Parks,Medium
Demolition without safety measures in Nagar Panchayat,Construction,High
Dead animals not removed from NH-8,Sanitation,High
Illegal weapons spotted near Nagar Panchayat,Safety,Critical
No dustbin provided in Colony B market,Sanitation,Low
Large pothole on Market Street causing accidents near Puram Extension,Road,High
Theft incidents increasing in Nagar Panchayat locality,Safety,High
Teachers absent regularly from Block 3 school,Education,Low
No water pressure in building in Sector 5,Water,Medium
Water supply disrupted since 21 days,Water,Low
Construction noise during night hours in Block 3,Construction,High
Unsafe scaffolding near School Lane,Construction,High
Scholarship money not distributed in Sector 5,Education,Medium
No road markings visible at night on Market Street,Road,Medium
Waste collection vehicle not coming to Mohalla 7,Sanitation,Critical
Chain snatching incidents in Nagar Panchayat area,Safety,Critical
No bus shelter at Colony B bus stop,Transport,Low
No power supply during festival in Zone 4,Electricity,Medium
Children playground dirty and unsafe in Sector 5,Parks,Medium
Electric meter not working properly in Puram Extension,Electricity,Medium
No footpath for pedestrians on Temple Road,Transport,Medium
Park fountains not working in Puram Extension,Parks,Low
No ambulance available in Ward 12,Healthcare,High
Garbage not collected for 5 days in Puram Extension,Sanitation,Critical
Water supply disrupted since 10 days,Water,Medium
Vaccination camp not organized in Mohalla 7,Healthcare,Medium
Long queues at Colony B government dispensary,Healthcare,Critical
Rowdy elements troubling residents of Block 3,Safety,High
Illegal parking blocking NH-8 in Zone 4,Transport,Low
Unauthorized commercial construction in Ward 12,Construction,High
Illegal liquor shop operating openly in Sector 5,Safety,High
Park pathway broken and dangerous in Block 3,Parks,Low
Park fountains not working in Ward 12,Parks,Medium
Illegal electrical connections spotted in Town Area,Electricity,High
No electricity for 5 days in Puram Extension,Electricity,Medium
Construction noise during night hours in Colony B,Construction,High
Broken road divider on NH-8 is dangerous,Road,High
Illegal liquor shop operating openly in Town Area,Safety,Medium
School missing benches for students in Mohalla 7,Education,Low
Park fountains not working in Mohalla 7,Parks,Low
Mid-day meal not provided in Zone 4 school,Education,Low
Road is completely broken near Puram Extension since 2 days,Road,Low
Construction affecting water supply in Puram Extension,Construction,Low
School has no blackboards in Block 3,Education,High
Construction debris on footpath on Ring Road,Construction,Low
Potholes causing vehicle damage on NH-8,Road,Medium
Dead animals not removed from Station Road,Sanitation,Medium
No doctors available at PHC in Village Kalan for 30 days,Healthcare,High
Unsafe scaffolding near NH-8,Construction,Low
Bins not emptied since last week in Colony B,Sanitation,Medium
Rubble dumped on School Lane by contractor,Construction,Medium
Park benches broken and unusable in Zone 4,Parks,Low
Water tank overflow flooding Station Road,Water,Low
Road dividers removed illegally on Old Delhi Road,Transport,High
Suspicious activity near ATM in Zone 4,Safety,Critical
CCTV cameras vandalized near Ward 12,Safety,High
Illegal liquor shop operating openly in Sector 5,Safety,Medium
Water pipeline broken near Puram Extension school,Water,High
No drinking water in Block 3 park,Parks,Medium
Lights flickering in Village Kalan residential area,Electricity,Medium
School has no blackboards in Nagar Panchayat,Education,High
Public toilet not maintained in Nagar Panchayat,Sanitation,High
No sports facilities in Block 3 school,Education,High
Traffic signals not working on Old Delhi Road,Transport,Medium
Electricity bill error for Block 3 residents,Electricity,Medium
Night watchman absent from Village Kalan,Safety,High
Potholes causing vehicle damage on Old Delhi Road,Road,High
Garbage burning near Mohalla 7 school,Sanitation,Medium
Park occupied by illegal vendors in Sector 5,Parks,Low
No electricity for 7 days in Sector 5,Electricity,Medium
Road is completely broken near Block 3 since 14 days,Road,Medium
Park walls have graffiti in Puram Extension,Parks,Low
Construction work damaging water pipeline in Zone 4,Construction,Medium
Open drain overflowing near Sector 5 homes,Sanitation,Medium
Road is completely broken near Town Area since 21 days,Road,High
Illegal electrical connections spotted in Colony B,Electricity,Low
Teachers absent regularly from Ward 12 school,Education,Low
Potholes causing vehicle damage on School Lane,Road,High
Street harassment near Nagar Panchayat school daily,Safety,Critical
Scholarship money not distributed in Nagar Panchayat,Education,Low
Illegal liquor shop operating openly in Mohalla 7,Safety,High
Encroachment in Town Area public park area,Parks,Low
Dirty conditions in Town Area government hospital,Healthcare,High
