feedback_text,sentiment,rating,category,ward
Road dug up for pipeline but not restored for months,NEGATIVE,2,Construction,Ward 45
New hospital wing is a great addition to our area,POSITIVE,5,Electricity,Ward 23
Work order issued for pothole repair,NEUTRAL,3,Sanitation,Ward 6
"Electricity outages have reduced significantly, great work",POSITIVE,4,Construction,Ward 7
Committee formed to review delayed projects,NEUTRAL,3,Sanitation,Ward 40
Power outage scheduled for maintenance work,NEUTRAL,3,Electricity,Ward 19
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Public Safety,Ward 5
Project completion date extended by two months,NEUTRAL,3,Public Safety,Ward 17
The construction work was neat and professional,POSITIVE,4,Roads,Ward 45
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Parks,Ward 10
Public toilets are now clean and well maintained,POSITIVE,5,Roads,Ward 24
"Bus frequency has increased, commuting is easier",POSITIVE,4,Water,Ward 43
Road dug up for pipeline but not restored for months,NEGATIVE,2,Transport,Ward 45
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,1,Electricity,Ward 7
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Education,Ward 2
Street light maintenance scheduled for this weekend,NEUTRAL,3,Water,Ward 20
Committee formed to review delayed projects,NEUTRAL,3,Transport,Ward 13
Great improvement in garbage collection frequency,POSITIVE,5,Education,Ward 45
Public toilets are now clean and well maintained,POSITIVE,4,Construction,Ward 45
New school building construction is progressing well,POSITIVE,4,Education,Ward 46
"Traffic signals not working, accidents happening daily",NEGATIVE,2,Construction,Ward 18
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Public Safety,Ward 28
"No water supply for the past 5 days, very frustrated",NEGATIVE,2,Parks,Ward 22
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Public Safety,Ward 29
Work order issued for pothole repair,NEUTRAL,3,Public Safety,Ward 28
Public toilet construction tender has been floated,NEUTRAL,3,Roads,Ward 45
The construction work was neat and professional,POSITIVE,5,Education,Ward 8
Traffic signal upgrade project is under review,NEUTRAL,3,Electricity,Ward 8
"Complained 10 times about potholes, zero response",NEGATIVE,2,Roads,Ward 33
Road repair work is ongoing in our sector,NEUTRAL,3,Electricity,Ward 38
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Roads,Ward 1
"Street lights are working perfectly now, feel safe at night",POSITIVE,5,Water,Ward 33
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Parks,Ward 5
Solar street lights are a wonderful initiative,POSITIVE,4,Healthcare,Ward 45
Road repair work is ongoing in our sector,NEUTRAL,3,Healthcare,Ward 23
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 13
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Sanitation,Ward 3
"The government responded quickly to our complaint, well done",POSITIVE,5,Roads,Ward 47
Electricity department working on transformer upgrade,NEUTRAL,3,Water,Ward 3
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Sanitation,Ward 39
"Construction noise at midnight, residents suffering",NEGATIVE,1,Water,Ward 14
Drainage cleaning drive happening next week,NEUTRAL,3,Roads,Ward 46
"Complained 10 times about potholes, zero response",NEGATIVE,2,Transport,Ward 38
The construction work was neat and professional,POSITIVE,5,Public Safety,Ward 34
Pothole on main road not fixed even after 3 complaints,NEGATIVE,2,Sanitation,Ward 19
The bridge repair was done with high quality materials,POSITIVE,4,Water,Ward 47
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Sanitation,Ward 6
Happy with the prompt response from civic authorities,POSITIVE,4,Electricity,Ward 24
"Bus frequency has increased, commuting is easier",POSITIVE,5,Sanitation,Ward 40
Project started but no updates for 6 months,NEGATIVE,1,Healthcare,Ward 6
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Healthcare,Ward 42
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Electricity,Ward 31
"Construction work stopped midway, area looks terrible",NEGATIVE,1,Parks,Ward 33
"Complaint registered, under review by department",NEUTRAL,3,Water,Ward 21
Happy with the prompt response from civic authorities,POSITIVE,5,Roads,Ward 32
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Construction,Ward 48
Garbage collection timings have been changed to morning,NEUTRAL,3,Transport,Ward 48
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Healthcare,Ward 35
Happy with the prompt response from civic authorities,POSITIVE,4,Education,Ward 2
Street light maintenance scheduled for this weekend,NEUTRAL,3,Transport,Ward 6
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Water,Ward 5
Garbage collection timings have been changed to morning,NEUTRAL,3,Construction,Ward 29
The sanitation team is doing a commendable job,POSITIVE,5,Electricity,Ward 50
Happy with the prompt response from civic authorities,POSITIVE,4,Education,Ward 28
Project started but no updates for 6 months,NEGATIVE,2,Electricity,Ward 40
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Parks,Ward 44
Road repair work is ongoing in our sector,NEUTRAL,3,Electricity,Ward 25
Construction of new school building underway,NEUTRAL,3,Sanitation,Ward 47
"Complaint registered, under review by department",NEUTRAL,3,Healthcare,Ward 48
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Sanitation,Ward 49
"Complained 10 times about potholes, zero response",NEGATIVE,2,Roads,Ward 9
Garbage collection timings have been changed to morning,NEUTRAL,3,Roads,Ward 9
"Government hospital has no medicines, pathetic service",NEGATIVE,2,Education,Ward 30
Environmental clearance received for park project,NEUTRAL,3,Healthcare,Ward 36
Solar street lights are a wonderful initiative,POSITIVE,4,Parks,Ward 32
Solar street lights are a wonderful initiative,POSITIVE,4,Public Safety,Ward 3
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Electricity,Ward 44
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Electricity,Ward 29
Water pipeline replacement work in progress,NEUTRAL,3,Transport,Ward 3
Authorities not responding to any complaints,NEGATIVE,1,Healthcare,Ward 11
"Garbage not collected for a week, health hazard",NEGATIVE,2,Transport,Ward 41
Electricity department working on transformer upgrade,NEUTRAL,3,Parks,Ward 2
The bridge repair was done with high quality materials,POSITIVE,5,Parks,Ward 25
"Public toilet in horrible condition, very unhygienic",NEGATIVE,2,Transport,Ward 20
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Electricity,Ward 21
Water tanker supply continues until pipeline fixed,NEUTRAL,3,Transport,Ward 4
Happy with the prompt response from civic authorities,POSITIVE,5,Electricity,Ward 13
Survey completed for new drainage line,NEUTRAL,3,Public Safety,Ward 38
Electricity cut for 3 days without any information,NEGATIVE,2,Healthcare,Ward 13
"Bridge cracks visible, no action from authorities",NEGATIVE,1,Water,Ward 17
Road marking work will start after monsoon,NEUTRAL,3,Electricity,Ward 21
"Street lights broken since 2 months, no action taken",NEGATIVE,1,Sanitation,Ward 31
Authorities not responding to any complaints,NEGATIVE,2,Electricity,Ward 2
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Construction,Ward 41
"Traffic signals not working, accidents happening daily",NEGATIVE,1,Education,Ward 8
Road widening project completed ahead of schedule,POSITIVE,4,Electricity,Ward 5
"Bus frequency has increased, commuting is easier",POSITIVE,5,Healthcare,Ward 10
"Bus route cancelled without notice, people suffering",NEGATIVE,1,Public Safety,Ward 42
Power outage scheduled for maintenance work,NEUTRAL,3,Electricity,Ward 31
Traffic signal upgrade project is under review,NEUTRAL,3,Water,Ward 44
"Footpath construction completed, senior citizens are happy",POSITIVE,4,Education,Ward 6
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Public Safety,Ward 1
"Water supply erratic, pressure very low",NEGATIVE,1,Roads,Ward 22
The bridge repair was done with high quality materials,POSITIVE,5,Public Safety,Ward 18
"Road marking done properly, reduces accidents at night",POSITIVE,5,Water,Ward 20
"Road repair done poorly, breaking again within weeks",NEGATIVE,2,Education,Ward 2
The construction work was neat and professional,POSITIVE,5,Electricity,Ward 12
"Water pipe burst causing damage, no immediate action",NEGATIVE,1,Roads,Ward 41
Bridge inspection scheduled for next week,NEUTRAL,3,Education,Ward 50
"Road repair done poorly, breaking again within weeks",NEGATIVE,1,Electricity,Ward 35
Traffic signal upgrade project is under review,NEUTRAL,3,Healthcare,Ward 46
"Construction noise at midnight, residents suffering",NEGATIVE,1,Electricity,Ward 16
"Water pipe burst causing damage, no immediate action",NEGATIVE,2,Sanitation,Ward 42
Road widening project expected to complete next month,NEUTRAL,3,Water,Ward 9
New project for park development announced for our ward,NEUTRAL,3,Education,Ward 26
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Sanitation,Ward 21
"Water quality has improved, no more complaints from residents",POSITIVE,5,Healthcare,Ward 14
The contractor did excellent work on the drainage project,POSITIVE,5,Sanitation,Ward 49
"Construction noise at midnight, residents suffering",NEGATIVE,1,Parks,Ward 30
"Complained 10 times about potholes, zero response",NEGATIVE,1,Water,Ward 26
Work order issued for pothole repair,NEUTRAL,3,Construction,Ward 25
"Electricity outages have reduced significantly, great work",POSITIVE,4,Education,Ward 34
"The government responded quickly to our complaint, well done",POSITIVE,5,Public Safety,Ward 15
The sanitation team is doing a commendable job,POSITIVE,4,Education,Ward 1
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,5,Electricity,Ward 44
"Construction work stopped midway, area looks terrible",NEGATIVE,2,Parks,Ward 37
"The government responded quickly to our complaint, well done",POSITIVE,5,Construction,Ward 13
Great improvement in garbage collection frequency,POSITIVE,5,Sanitation,Ward 21
"Footpath construction completed, senior citizens are happy",POSITIVE,5,Transport,Ward 41
Authorities not responding to any complaints,NEGATIVE,2,Education,Ward 39
Happy with the prompt response from civic authorities,POSITIVE,4,Roads,Ward 1
"Park renovation looks beautiful, children love it",POSITIVE,4,Education,Ward 34
Electricity department working on transformer upgrade,NEUTRAL,3,Transport,Ward 25
"Complaint registered, under review by department",NEUTRAL,3,Roads,Ward 46
Garbage collection timings have been changed to morning,NEUTRAL,3,Transport,Ward 10
Survey completed for new drainage line,NEUTRAL,3,Transport,Ward 40
"Bus frequency has increased, commuting is easier",POSITIVE,4,Parks,Ward 1
"Complaint registered, under review by department",NEUTRAL,3,Healthcare,Ward 6
Survey completed for new drainage line,NEUTRAL,3,Water,Ward 18
"The road repair was completed on time, very happy with the work",POSITIVE,4,Transport,Ward 34
"Park facilities broken, children getting hurt",NEGATIVE,1,Electricity,Ward 37
Environmental clearance received for park project,NEUTRAL,3,Roads,Ward 17
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Healthcare,Ward 26
"Drainage work done excellently, no more waterlogging",POSITIVE,4,Electricity,Ward 30
Water pipeline replacement work in progress,NEUTRAL,3,Healthcare,Ward 22
Street light maintenance scheduled for this weekend,NEUTRAL,3,Parks,Ward 34
Survey completed for new drainage line,NEUTRAL,3,Sanitation,Ward 26
"Government hospital has no medicines, pathetic service",NEGATIVE,1,Roads,Ward 43
"No street lights on dark lane, women feel unsafe",NEGATIVE,2,Parks,Ward 16
"Footpath occupied by vendors, pedestrians on road",NEGATIVE,2,Transport,Ward 41
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Transport,Ward 24
"Water tank cleaning done thoroughly, water quality improved",POSITIVE,4,Construction,Ward 37
Water supply will be interrupted tomorrow for maintenance,NEUTRAL,3,Roads,Ward 12
Road marking work will start after monsoon,NEUTRAL,3,Construction,Ward 5
Traffic signal upgrade project is under review,NEUTRAL,3,Roads,Ward 40
Bridge inspection scheduled for next week,NEUTRAL,3,Roads,Ward 16
"Bus frequency has increased, commuting is easier",POSITIVE,5,Healthcare,Ward 32
Happy with the prompt response from civic authorities,POSITIVE,4,Construction,Ward 21
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Construction,Ward 3
New hospital wing is a great addition to our area,POSITIVE,5,Water,Ward 9
"Quick action taken on our pothole complaint, impressed",POSITIVE,5,Electricity,Ward 49
"No water supply for the past 5 days, very frustrated",NEGATIVE,1,Electricity,Ward 2
Committee formed to review delayed projects,NEUTRAL,3,Parks,Ward 26
"Drainage overflowing, sewage on streets, disgusting",NEGATIVE,1,Public Safety,Ward 3
Electricity cut for 3 days without any information,NEGATIVE,1,Education,Ward 45
"No street lights on dark lane, women feel unsafe",NEGATIVE,1,Electricity,Ward 31
Hospital renovation work started last month,NEUTRAL,3,Water,Ward 28
"Street lights are working perfectly now, feel safe at night",POSITIVE,4,Construction,Ward 5
Solar street lights are a wonderful initiative,POSITIVE,5,Water,Ward 44
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 44
Pothole on main road not fixed even after 3 complaints,NEGATIVE,1,Sanitation,Ward 19
Solar street lights are a wonderful initiative,POSITIVE,4,Healthcare,Ward 29
"Park facilities broken, children getting hurt",NEGATIVE,1,Education,Ward 36
"Drainage work done excellently, no more waterlogging",POSITIVE,5,Public Safety,Ward 46
Road widening project expected to complete next month,NEUTRAL,3,Sanitation,Ward 39
The construction work was neat and professional,POSITIVE,4,Roads,Ward 29
"Construction noise at midnight, residents suffering",NEGATIVE,2,Education,Ward 6
Solar street lights are a wonderful initiative,POSITIVE,4,Sanitation,Ward 36
Authorities not responding to any complaints,NEGATIVE,1,Education,Ward 36
